Code,Area,Value
Global2050,,106000000
Global2030,,80000000
Global,,66250350
USA,United States of America,11907239
BRA,Brazil,9550000
CHN,"China, mainland",6898000
ARG,Argentina,2842000
AUS,Australia,2048517
MEX,Mexico,1926901
RUS,Russian Federation,1613647
FRA,France,1423404
DEU,Germany,1137008
ZAF,South Africa,1014050
TUR,Turkey,987482
PAK,Pakistan,948000
GBR,United Kingdom,902000
IND,India,888508
CAN,Canada,880039
UZB,Uzbekistan,758690
COL,Colombia,752969
ITA,Italy,739830
ESP,Spain,643861
NZL,New Zealand,641745
IRL,Ireland,617000
URY,Uruguay,594122
KEN,Kenya,588693
POL,Poland,572300
IDN,Indonesia,531757
PRY,Paraguay,484000
IRN,Iran (Islamic Republic of),477887
JPN,Japan,469157
EGY,Egypt,456359
KAZ,Kazakhstan,450432
NLD,Netherlands,440639
VEN,Venezuela (Bolivarian Republic of),432000
MMR,Myanmar,425891
TCD,Chad,417775
ETH,Ethiopia,393172
NGA,Nigeria,373435
UKR,Ukraine,363500
SDN,Sudan,331452
VNM,Viet Nam,321666
BLR,Belarus,317300
TZA,United Republic of Tanzania,314138
BEL,Belgium,281536
KOR,Republic of Korea,281000
MAR,Morocco,260700
BOL,Bolivia (Plurinational State of),260000
SSD,South Sudan,238910
AUT,Austria,226859
ECU,Ecuador,222090
PHL,Philippines,210149
ZMB,Zambia,209300
CHL,Chile,199958
BGD,Bangladesh,191010
PER,Peru,188680
MLI,Mali,182000
UGA,Uganda,180305
GTM,Guatemala,174200
MDG,Madagascar,166886
TKM,Turkmenistan,158946
DZA,Algeria,151200
NIC,Nicaragua,147749
NER,Niger,143745
ISR,Israel,140655
CHE,Switzerland,139744
AZE,Azerbaijan,132902
SWE,Sweden,132070
THA,Thailand,130000
YEM,Yemen,124557
DNK,Denmark,124148
BFA,Burkina Faso,105000
KGZ,Kyrgyzstan,102455
AGO,Angola,99865
MNG,Mongolia,97680
ROU,Romania,96270
CAF,Central African Republic,94803
AFG,Afghanistan,93690
PRT,Portugal,91187
CUB,Cuba,88313
FIN,Finland,86080
NOR,Norway,85196
CMR,Cameroon,83520
GIN,Guinea,82000
CRI,Costa Rica,77904
SEN,Senegal,75172
ZWE,Zimbabwe,73435
ARM,Armenia,71100
PAN,Panama,69993
SYR,Syrian Arab Republic,69766
CZE,Czechia,67714
DOM,Dominican Republic,66473
HND,Honduras,65342
SRB,Serbia,62033
TUN,Tunisia,59800
KHM,Cambodia,58627
TJK,Tajikistan,53750
LBN,Lebanon,52369
NPL,Nepal,50005
HTI,Haiti,47145
MWI,Malawi,45736
HRV,Croatia,44200
GRC,Greece,44000
MYS,Malaysia,42158
LTU,Lithuania,41917
SAU,Saudi Arabia,41600
BEN,Benin,40753
ALB,Albania,39017
SOM,Somalia,38781
SVN,Slovenia,35795
BWA,Botswana,34000
LAO,Lao People's Democratic Republic,33765
NAM,Namibia,33283
RWA,Rwanda,31807
MRT,Mauritania,29767
JOR,Jordan,28420
HUN,Hungary,28162
CIV,Côte d'Ivoire,24325
GHA,Ghana,23786
ERI,Eritrea,22288
GEO,Georgia,21400
PRK,Democratic People's Republic of Korea,21054
LKA,Sri Lanka,20810
IRQ,Iraq,20628
SLV,El Salvador,19860
LVA,Latvia,18450
ARE,United Arab Emirates,18188
BGR,Bulgaria,17113
SWZ,Eswatini,16188
BIH,Bosnia and Herzegovina,15530
MOZ,Mozambique,15444
BDI,Burundi,14523
OMN,Oman,14449
