"region","group","ADM0_A3","ave_distance"
"EUR","Baltic","EST",3374.68421052632
"EUR","Baltic","LVA",2873.82352941176
"EUR","Baltic","LTU",5121.5
"EUR","East Europe","BGR",4091.73913043478
"EUR","East Europe","CZE",3328.04545454545
"EUR","East Europe","HUN",4100.08333333333
"EUR","East Europe","POL",8477.2375
"EUR","East Europe","ROU",4799.23529411765
"EUR","East Europe","SVK",3779.3
"EUR","East Europe","SVN",3197.8
"EUR","West Europe","LIE",5669.76965512781
"EUR","West Europe","AUT",4974.10256410256
"EUR","West Europe","BEL",7167.93055555556
"EUR","West Europe","DEU",8037.41836734694
"EUR","West Europe","MCO",5669.76965512781
"EUR","West Europe","FRA",5751.11627906977
"EUR","West Europe","MAF",5669.76965512781
"EUR","West Europe","NCL",5669.76965512781
"EUR","West Europe","SPM",3568
"EUR","West Europe","PYF",5669.76965512781
"EUR","West Europe","ATF",5669.76965512781
"EUR","West Europe","BLM",5669.76965512781
"EUR","West Europe","WLF",5669.76965512781
"EUR","West Europe","CLP",5669.76965512781
"EUR","West Europe","LUX",2390.66666666667
"EUR","West Europe","SXM",5669.76965512781
"EUR","West Europe","NLD",7799.15315315315
"EUR","West Europe","CUW",5669.76965512781
"EUR","West Europe","ABW",5669.76965512781
"EUR","North Europe","DNK",5954.27777777778
"EUR","North Europe","GRL",7590.56722536723
"EUR","North Europe","FRO",7590.56722536723
"EUR","North Europe","FIN",5732.5
"EUR","North Europe","ALD",7590.56722536723
"EUR","North Europe","IRL",7103.27142857143
"EUR","North Europe","SWE",5234.73076923077
"EUR","North Europe","ESB",7590.56722536723
"EUR","North Europe","GBR",7763.62337662338
"EUR","North Europe","GIB",7590.56722536723
"EUR","North Europe","WSB",7590.56722536723
"EUR","North Europe","TCA",7590.56722536723
"EUR","North Europe","PCN",7590.56722536723
"EUR","North Europe","MSR",7590.56722536723
"EUR","North Europe","AIA",7590.56722536723
"EUR","North Europe","VGB",7590.56722536723
"EUR","North Europe","CYM",7590.56722536723
"EUR","North Europe","BMU",7590.56722536723
"EUR","North Europe","SHN",7590.56722536723
"EUR","North Europe","JEY",7590.56722536723
"EUR","North Europe","GGY",7590.56722536723
"EUR","North Europe","IMN",7590.56722536723
"EUR","North Europe","IOT",7590.56722536723
"EUR","North Europe","SGS",7590.56722536723
"EUR","North Europe","FLK",13755
"EUR","South Europe","CNM",4873.64488649211
"EUR","South Europe","CYN",4873.64488649211
"EUR","South Europe","CYP",4556.84615384615
"EUR","South Europe","GRC",5017.77777777778
"EUR","South Europe","SMR",4873.64488649211
"EUR","South Europe","VAT",4873.64488649211
"EUR","South Europe","ITA",5232.35802469136
"EUR","South Europe","MLT",2924
"EUR","South Europe","PRT",5408.42307692308
"EUR","South Europe","AND",4873.64488649211
"EUR","South Europe","ESP",6102.46428571429
"EUR","Former USSR","ARM",6949.56346153846
"EUR","Former USSR","AZE",6949.56346153846
"EUR","Former USSR","BLR",11441.1666666667
"EUR","Former USSR","GEO",6825.4
"EUR","Former USSR","KAZ",5793.8
"EUR","Former USSR","KAB",6949.56346153846
"EUR","Former USSR","KGZ",7176.5
"EUR","Former USSR","MDA",3268.66666666667
"EUR","Former USSR","RUS",5376.16666666667
"EUR","Former USSR","TJK",6949.56346153846
"EUR","Former USSR","TKM",6949.56346153846
"EUR","Former USSR","UKR",7409.80769230769
"EUR","Former USSR",NA,6949.56346153846
"EUR","Former USSR","UZB",8305
"EUR","Balkans","ALB",1397
"EUR","Balkans","BIH",7560.5
"EUR","Balkans","HRV",2986.58333333333
"EUR","Balkans","MKD",977.5
"EUR","Balkans","MNE",6835
"EUR","Balkans","KOS",4166.91094771242
"EUR","Balkans","SRB",5244.88235294118
"EUR","Rest of Europe",NA,3851.00673400673
"EUR","Rest of Europe","ISL",1568.33333333333
"EUR","Rest of Europe","NOR",6720.90909090909
"EUR","Rest of Europe","CHE",3263.77777777778
"OCE","Pacific islands",NA,2367.33333333333
"OCE","ANZ","AUS",12513.2903225806
"OCE","ANZ","HMD",12665.6614656381
"OCE","ANZ","IOA",12665.6614656381
"OCE","ANZ","NFK",12665.6614656381
"OCE","ANZ","CSI",12665.6614656381
"OCE","ANZ","ATC",12665.6614656381
"OCE","ANZ","NZL",12818.0326086957
"OCE","ANZ","COK",12665.6614656381
"OCE","ANZ","NIU",12665.6614656381
"OCE","Pacific islands","FJI",1961.5
"OCE","Pacific islands","KIR",2367.33333333333
"OCE","Pacific islands","PNG",2367.33333333333
"OCE","Pacific islands","WSM",574
"OCE","Pacific islands","SLB",2367.33333333333
"OCE","Pacific islands","MHL",2367.33333333333
"OCE","Pacific islands","NRU",2367.33333333333
"OCE","Pacific islands","TUV",2367.33333333333
"OCE","Pacific islands","TON",2367.33333333333
"OCE","Pacific islands","FSM",2367.33333333333
"OCE","Pacific islands","PLW",2367.33333333333
"OCE","Pacific islands","VUT",4566.5
"NAM","Canada","CAN",8233.54
"NAM","Canada",NA,8233.54
"NAM","United States","USA",9217.34146341463
"NAM","United States","UMI",9217.34146341463
"NAM","United States","VIR",9217.34146341463
"NAM","United States","PRI",9217.34146341463
"NAM","United States","ASM",9217.34146341463
"NAM","United States","GUM",9217.34146341463
"NAM","United States","MNP",9217.34146341463
"LAM","Rest of Centr. America","PAN",7379.08333333333
"LAM","Rest of Centr. America","TTO",6948.2503968254
"LAM","Rest of Centr. America",NA,6948.2503968254
"LAM","Rest of Centr. America","VCT",6948.2503968254
"LAM","Rest of Centr. America","LCA",6948.2503968254
"LAM","Rest of Centr. America","KNA",6948.2503968254
"LAM","Rest of Centr. America",NA,6948.2503968254
"LAM","Rest of Centr. America",NA,6948.2503968254
"LAM","Rest of Centr. America","ATG",4384
"LAM","Rest of Centr. America",NA,6948.2503968254
"LAM","Brazil","BRA",11266.3300970874
"LAM","Mexico","MEX",10309.75
"LAM","Rest of Centr. America","BHS",6828
"LAM","Rest of Centr. America","BRB",6948.2503968254
"LAM","Rest of Centr. America","BLZ",19619
"LAM","Rest of Centr. America",NA,6948.2503968254
"LAM","Rest of Centr. America","CRI",4455.33333333333
"LAM","Rest of Centr. America","USG",6948.2503968254
"LAM","Rest of Centr. America","CUB",6948.2503968254
"LAM","Rest of Centr. America","DMA",6948.2503968254
"LAM","Rest of Centr. America","DOM",4113.44444444444
"LAM","Rest of Centr. America","SLV",2907
"LAM","Rest of Centr. America","GRD",6948.2503968254
"LAM","Rest of Centr. America","GTM",1353
"LAM","Rest of Centr. America","HTI",6948.2503968254
"LAM","Rest of Centr. America","HND",10437.5
"LAM","Rest of Centr. America","JAM",6948.2503968254
"LAM","Rest of Centr. America","NIC",8006.14285714286
"LAM","Rest of Centr. America",NA,6948.2503968254
"LAM","Rest of South America","ARG",12907.609375
"LAM","Rest of South America","BOL",12260.6666666667
"LAM","Rest of South America","CHL",11646.6956521739
"LAM","Rest of South America","COL",12631.5384615385
"LAM","Rest of South America","ECU",17198
"LAM","Rest of South America","GUY",11375.9008229938
"LAM","Rest of South America","PRY",12068
"LAM","Rest of South America","PER",11375.9008229938
"LAM","Rest of South America","SUR",403
"LAM","Rest of South America","URY",11891.6964285714
"LAM","Rest of South America","VEN",11375.9008229938
"EAS","China","CHN",12539.4117647059
