"region","group","ADM0_A3","tcost"
"EAS","China","CHN",0.00358208198257474
"EAS","China","HKG",0.00416947627237569
"EAS","China","MAC",0.00354805909857613
"EAS","China","TWN",0.00289261904077797
"EAS","Japan","JPN",0.00180144179073239
"EAS","South Korea","KOR",0.00246792421461257
"EUR","Balkans","ALB",0.0127939404489555
"EUR","Balkans","BIH",0.0050661251618063
"EUR","Balkans","HRV",0.00131792317575215
"EUR","Balkans","KOS",0.00723124052369834
"EUR","Balkans","MKD",0.00974697330827947
"EUR","Balkans","MNE",0.00723124052369834
"EUR","Balkans","SRB",0.00723124052369834
"EUR","Baltic","EST",0.373060303745065
"EUR","Baltic","LTU",0.0334146408310027
"EUR","Baltic","LVA",0.0678038834546028
"EUR","East Europe","BGR",0.0044142392313474
"EUR","East Europe","CZE",0.0199073049004101
"EUR","East Europe","HUN",0.00329505991530048
"EUR","East Europe","POL",0.0228589190575737
"EUR","East Europe","ROU",0.0219410947254754
"EUR","East Europe","SVK",0.000687074363202226
"EUR","East Europe","SVN",0.00450674746251443
"EUR","Former USSR","ARM",0.00678847471250656
"EUR","Former USSR","AZE",0.00771589478906588
"EUR","Former USSR","BLR",0.0161514025061369
"EUR","Former USSR","GEO",0.00135830375613451
"EUR","Former USSR","KAB",0.0079086765403413
"EUR","Former USSR","KAZ",0.0079086765403413
"EUR","Former USSR","KGZ",0.0079086765403413
"EUR","Former USSR","MDA",0.00839112565025622
"EUR","Former USSR","RUS",0.0082815895070974
"EUR","Former USSR","TJK",0.0079086765403413
"EUR","Former USSR","TKM",0.00720141451907557
"EUR","Former USSR","UKR",0.0120371690028492
"EUR","Former USSR","UZB",0.00325271441994939
"EUR","Former USSR",NA,0.0079086765403413
"EUR","North Europe","AIA",0.0231291737172609
"EUR","North Europe","ALD",0.0231291737172609
"EUR","North Europe","BMU",0.0231291737172609
"EUR","North Europe","CYM",0.0231291737172609
"EUR","North Europe","DNK",0.00961613968828529
"EUR","North Europe","ESB",0.0231291737172609
"EUR","North Europe","FIN",0.0365150438891659
"EUR","North Europe","FLK",0.0231291737172609
"EUR","North Europe","FRO",0.0892367613146026
"EUR","North Europe","GBR",0.0122377400303441
"EUR","North Europe","GGY",0.0231291737172609
"EUR","North Europe","GIB",0.0231291737172609
"EUR","North Europe","GRL",0.0085752452762081
"EUR","North Europe","IMN",0.0231291737172609
"EUR","North Europe","IOT",0.0231291737172609
"EUR","North Europe","IRL",0.00834465348809441
"EUR","North Europe","JEY",0.0231291737172609
"EUR","North Europe","MSR",0.0231291737172609
"EUR","North Europe","PCN",0.0231291737172609
"EUR","North Europe","SGS",0.0231291737172609
"EUR","North Europe","SHN",0.0231291737172609
"EUR","North Europe","SWE",0.01698766666941
"EUR","North Europe","TCA",0.00352013938197702
"EUR","North Europe","VGB",0.0231291737172609
"EUR","North Europe","WSB",0.0231291737172609
"EUR","Rest of Europe","CHE",0.00495252202425145
"EUR","Rest of Europe","ISL",0.0302106756462714
"EUR","Rest of Europe","NOR",0.03967954359006
"EUR","Rest of Europe",NA,0.0249475804201943
"EUR","South Europe","AND",0.0127973204936731
